url,pillar,slots_total,slots_fixed,slots_skipped,flags,action_taken
"/knowledge/ce0020","ce","13","0","13","","IMAGE_PASS"
"/knowledge/ce0018","ce","5","0","5","","IMAGE_PASS"
"/knowledge/ce0016","ce","5","0","5","","IMAGE_PASS"
"/knowledge/ce0015","ce","4","0","4","","IMAGE_PASS"
"/knowledge/ce0014","ce","5","1","4","HOTLINKED","IMAGE_PASS"
"/knowledge/ce0012","ce","5","0","5","","IMAGE_PASS"
"/knowledge/ce0007","ce","5","0","5","","IMAGE_PASS"
"/knowledge/ce0005","ce","4","0","4","","IMAGE_PASS"
"/knowledge/ce0004","ce","4","0","4","","IMAGE_PASS"
"/knowledge/ce0003","ce","4","1","3","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0034","fs","4","0","4","","IMAGE_PASS"
"/knowledge/fs0033","fs","5","0","5","","IMAGE_PASS"
"/knowledge/fs0032","fs","5","0","5","","IMAGE_PASS"
"/knowledge/fs0031","fs","4","0","4","","IMAGE_PASS"
"/knowledge/fs0030","fs","4","0","3","UNRESOLVED","UNRESOLVED"
"/knowledge/fs0034","fs","4","0","4","","IMAGE_PASS"
"/knowledge/fs0033","fs","5","0","5","","IMAGE_PASS"
"/knowledge/fs0032","fs","5","0","5","","IMAGE_PASS"
"/knowledge/fs0031","fs","4","0","4","","IMAGE_PASS"
"/knowledge/fs0030","fs","4","1","3","","IMAGE_PASS"
"/knowledge/fs0029","fs","4","3","1","STANDARD","IMAGE_PASS"
"/knowledge/fs0028","fs","5","4","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/fs0027","fs","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0026","fs","5","5","0","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0025","fs","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0024","fs","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0023","fs","6","6","0","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0022","fs","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0021","fs","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0020","fs","4","4","0","HOTLINKED|STANDARD","IMAGE_PASS"
"/knowledge/fs0019","fs","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0018","fs","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0017","fs","4","3","0","HOTLINKED|UNRESOLVED|STANDARD","HOTLINKED|UNRESOLVED|STANDARD"
"/knowledge/fs0016","fs","4","3","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/fs0015","fs","5","4","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/fs0014","fs","5","4","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/fs0013","fs","5","5","0","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0012","fs","5","3","0","UNRESOLVED|STANDARD|HOTLINKED","UNRESOLVED|STANDARD|HOTLINKED"
"/knowledge/fs0011","fs","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/fs0010","fs","5","3","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/fs0009","fs","4","2","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/fs0008","fs","4","2","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/fs0007","fs","4","2","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/fs0006","fs","6","4","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/fs0005","fs","4","4","0","STANDARD","IMAGE_PASS"
"/knowledge/fs0004","fs","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/fs0003","fs","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0002","fs","5","5","0","HOTLINKED","IMAGE_PASS"
"/knowledge/fs0001","fs","6","5","0","HOTLINKED|STANDARD|UNRESOLVED","HOTLINKED|STANDARD|UNRESOLVED"
"/knowledge/mv0051","mv","4","3","1","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0050","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0049","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0048","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0047","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0046","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0045","mv","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0044","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0043","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0042","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0041","mv","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0040","mv","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0039","mv","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0038","mv","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0037","mv","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0036","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0035","mv","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0034","mv","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0033","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0032","mv","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0031","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0051","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0050","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0049","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0048","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0047","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0046","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0045","mv","4","0","3","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0044","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0043","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0042","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0051","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0050","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0049","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0048","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0047","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0046","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0041","mv","4","0","3","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0045","mv","4","0","3","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0044","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0043","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0042","mv","4","0","4","","IMAGE_PASS"
"/knowledge/mv0040","mv","4","0","3","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
