[img-lane] pass 1 start: images_pending=55 {"q":6,"sw":35,"ra":14}
[img-lane] pass 2 start: images_pending=41 {"q":6,"sw":35}
[img-lane] pass 3 start: images_pending=41 {"q":6,"sw":35}
[img-lane] pass 4 start: images_pending=36 {"q":1,"sw":35}
[img-lane] pass 5 start: images_pending=36 {"q":1,"sw":35}
[img-lane] pass 6 start: images_pending=36 {"q":1,"sw":35}
[img-lane] pass 7 start: images_pending=47 {"q":12,"sw":35}
[img-lane] pass 8 start: images_pending=47 {"q":12,"sw":35}
[img-lane] pass 9 start: images_pending=47 {"q":12,"sw":35}
[img-lane] pass 10 start: images_pending=47 {"q":12,"sw":35}
[img-lane] pass 11 start: images_pending=47 {"q":12,"sw":35}
[img-lane] pass 12 start: images_pending=47 {"q":12,"sw":35}
[img-lane] pass 13 start: images_pending=47 {"q":12,"sw":35}
[img-lane] pass 14 start: images_pending=47 {"q":12,"sw":35}
[img-lane] pass 15 start: images_pending=47 {"q":12,"sw":35}
[img-lane] pass 16 start: images_pending=47 {"q":12,"sw":35}
[img-lane] pass 17 start: images_pending=35 {"sw":35}
[img-lane] pass 18 start: images_pending=35 {"sw":35}
[img-lane] pass 19 start: images_pending=35 {"sw":35}
[img-lane] pass 20 start: images_pending=35 {"sw":35}
[img-lane] pass 21 start: images_pending=35 {"sw":35}
[img-lane] pass 22 start: images_pending=35 {"sw":35}
[img-lane] pass 23 start: images_pending=35 {"sw":35}
[img-lane] pass 24 start: images_pending=35 {"sw":35}
[img-lane] pass 25 start: images_pending=35 {"sw":35}
[img-lane] pass 26 start: images_pending=35 {"sw":35}
[img-lane] pass 27 start: images_pending=35 {"sw":35}
[img-lane] pass 28 start: images_pending=35 {"sw":35}
[img-lane] pass 29 start: images_pending=35 {"sw":35}
[img-lane] pass 30 start: images_pending=35 {"sw":35}
[img-lane] pass 31 start: images_pending=35 {"sw":35}
[img-lane] pass 32 start: images_pending=35 {"sw":35}
[img-lane] pass 33 start: images_pending=35 {"sw":35}
[img-lane] pass 34 start: images_pending=35 {"sw":35}
[img-lane] pass 35 start: images_pending=35 {"sw":35}
[img-lane] pass 36 start: images_pending=35 {"sw":35}
[img-lane] pass 37 start: images_pending=35 {"sw":35}
[img-lane] pass 38 start: images_pending=35 {"sw":35}
[img-lane] pass 39 start: images_pending=35 {"sw":35}
[img-lane] pass 40 start: images_pending=35 {"sw":35}
[img-lane] pass 41 start: images_pending=35 {"sw":35}
[img-lane] pass 42 start: images_pending=35 {"sw":35}
[img-lane] pass 43 start: images_pending=35 {"sw":35}
[img-lane] pass 44 start: images_pending=35 {"sw":35}
[img-lane] pass 45 start: images_pending=35 {"sw":35}
[img-lane] pass 46 start: images_pending=35 {"sw":35}
[img-lane] pass 47 start: images_pending=35 {"sw":35}
[img-lane] pass 48 start: images_pending=35 {"sw":35}
[img-lane] pass 49 start: images_pending=35 {"sw":35}
[img-lane] pass 50 start: images_pending=35 {"sw":35}
[img-lane] pass 51 start: images_pending=35 {"sw":35}
[img-lane] pass 52 start: images_pending=35 {"sw":35}
[img-lane] pass 53 start: images_pending=0 {}
[img-lane] ALL IMAGES DONE
[img-lane] exiting
