pillar,urls,broken,redirects,nonIndexable,missingTitle,thin,noImg
knowledge,329,1,0,1,0,1,0
tools,31,2,0,2,0,0,0
fish-and-crabs,17,0,1,0,0,0,0
pillars,6,0,0,3,0,0,0
(root),1,0,0,0,0,0,0
calculators,1,0,0,0,0,0,0
derby,1,0,0,1,0,0,0
sales-trainings,1,0,0,0,0,0,0
industry-kpis,1,0,0,0,0,0,0
my-content,1,0,0,0,0,0,0
themachine,1,0,0,0,0,0,0
knowledge.html,1,0,0,0,0,0,0
answers.html,1,0,0,0,0,0,0
matrix.html,1,0,0,0,0,0,0
schedule.html,1,0,0,0,0,0,0
privacy.html,1,0,0,0,0,0,0
bins.html,1,0,0,0,0,0,0
fractional-cro,1,0,0,0,0,0,0
kory-white-maryland,1,0,0,0,0,0,0
fractional-cro-maryland-dc,1,0,0,0,0,0,0
plan-90.html,1,0,0,0,0,0,0
cro-syndicate-team,1,0,0,0,0,0,0
highschool-football-recruiting,1,0,0,0,0,0,0
319-blue-bay-road-stevensville-md,1,0,0,0,0,0,0
